,Subject code,Subject
0,Ab,Additional Booster Sessi
1,Ar,Art
2,At,Attendance
3,Bi,Biology
4,Bo,Booster
5,Ca,City Art
6,Cc,City Chemistry
7,Cd,Child Development
8,Ce,City English
9,Cf,City Further Maths
10,Cg,Computing
11,Ch,Chemistry
12,Ci,Citizenship
13,Cm,CDM
14,Co,Computer Science
15,Cp,City Physics
16,Cq,Consequences
17,Cz,PHSE/Citiz
18,Di,T Level Digital
19,Du,Duty
20,E2,English Resit 
21,Ec,Economics
22,El,English Literature
23,En,English Language
24,Ep,Extended project
25,Eq,EPQ
26,Er,Enrichment
27,Fm,F.Maths
28,Fr,French
29,Gg,Geography
30,Gp,GCSE PE
31,Hp,Health and Sport
32,Hs,Health and Social
33,In,Intervention
34,It,ICT
35,Ma,Maths
36,Mc,Core Maths
37,Me,Meeting
38,Mm,City Maths
39,Mr,Resit Maths
40,Ms,Microsoft
41,Na,Na
42,Pd,P.Development
43,Pe,PE
44,Ph,Physics
45,Pj,Project
46,Ps,Psychology
47,Pt,Photography
48,Py,Psychology1
49,Re,Religious Education
50,Rm,Resit Maths
51,Sc,Science
52,Sn,Spanish
53,So,Sociology
54,Sp,Sport
55,Ss,Sports Studies
56,St,Statistics
57,Tg,Tutor Group
58,Vm,VMG
